Name,CSD_Refcode,Database_Acronym,Generic_Identity,Calculation_Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal_Structure_File_Type,Crystal_Structure_Availability,matched_not_open_in_col,OOD_flag
CAKXIX_CoRE,CAKXIX,CoRE,Real,Crystallographic properties,1.95983,0.0,0.0,0.271159,0.233988,4.13408,2.81759,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
ESIPUR_CoRE,ESIPUR,CoRE,Real,Crystallographic properties,1.61916,0.0,0.0,0.13671,0.240868,4.9703,2.81655,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
OVIDON_CoRE,OVIDON,CoRE,Real,Crystallographic properties,1.53474,0.0,0.0,0.174588,0.276053,4.40281,2.81637,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
ZEDRAD_CoRE,ZEDRAD,CoRE,Real,Crystallographic properties,2.48068,0.0,0.0,0.25168,0.1593,3.70645,2.81425,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
FACMIH01_CoRE,FACMIH01,CoRE,Real,Crystallographic properties,0.961721,0.0,0.0,0.396271,0.546741,14.18478,2.81409,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
UJAQAY_CoRE,UJAQAY,CoRE,Real,Crystallographic properties,1.41324,0.0,0.0,0.287252,0.302648,3.85934,2.81383,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
POVXII_CoRE,POVXII,CoRE,Real,Crystallographic properties,1.57551,0.0,0.0,0.159306,0.26165,4.522,2.81232,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
DEJCEB_CoRE,DEJCEB,CoRE,Real,Crystallographic properties,1.28345,0.0,0.0,0.43956,0.41167,4.6846,2.81125,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
GEDRIS_CoRE,GEDRIS,CoRE,Real,Crystallographic properties,1.49929,0.0,0.0,0.218857,0.292841,5.02719,2.80948,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
PELNEA01_CoRE,PELNEA01,CoRE,Real,Crystallographic properties,1.81592,0.0,0.0,0.109616,0.202689,3.35506,2.80911,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
CDLGLU01_CoRE,CDLGLU01,CoRE,Real,Crystallographic properties,1.89224,0.0,0.0,0.146971,0.239195,3.41972,2.80899,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
KAFYAT_CoRE,KAFYAT,CoRE,Real,Crystallographic properties,1.63276,0.0,0.0,0.24437,0.27723,3.68992,2.80806,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
ESIPUR02_CoRE,ESIPUR02,CoRE,Real,Crystallographic properties,1.61266,0.0,0.0,0.135812,0.242208,4.97103,2.80803,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
ICANEH_CoRE,ICANEH,CoRE,Real,Crystallographic properties,1.99556,0.0,0.0,0.323711,0.222586,7.44304,2.8069,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
SAHNIZ_CoRE,SAHNIZ,CoRE,Real,Crystallographic properties,1.29941,0.0,0.0,0.251847,0.368322,7.37617,2.80668,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
JUPFOP_CoRE,JUPFOP,CoRE,Real,Crystallographic properties,1.76198,0.0,0.0,0.217847,0.258654,4.08468,2.80565,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
