name,csd_refc,db_acr,gt,calc_type,Density,GSA,VSA,VF,PV,LCD,PLD,ug_at_tps,uv_at_tps,source,csft,csa,sample_weight_ug_at_tps,sample_weight_uv_at_tps
YARGIJ_CoRE,YARGIJ,CoRE,Real,Grand Canonical Monte Carlo,1.28,0.0,0.0,0.25,0.35,5.34,3.2,1.1,14.3,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
KIKDIT_CoRE,KIKDIT,CoRE,Real,Grand Canonical Monte Carlo,1.14,0.0,0.0,0.24,0.46,5.07,3.27,1.23,14.26,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
DORFOG_CoRE,DORFOG,CoRE,Real,Grand Canonical Monte Carlo,1.28,0.0,0.0,0.25,0.37,3.83,3.5,1.1,14.25,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
FAQVEA_CoRE,FAQVEA,CoRE,Real,Grand Canonical Monte Carlo,1.47,0.0,0.0,0.24,0.31,4.28,3.21,0.96,14.25,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
KATDAM_CoRE,KATDAM,CoRE,Real,Grand Canonical Monte Carlo,1.41,214.9,302.0,0.15,0.31,6.25,6.07,1.0,14.25,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
IYUHIU_CoRE,IYUHIU,CoRE,Real,Grand Canonical Monte Carlo,1.36,0.0,0.0,0.22,0.35,5.1,2.44,1.03,14.24,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
XAXQEU_CoRE,XAXQEU,CoRE,Real,Grand Canonical Monte Carlo,1.72,0.0,0.0,0.31,0.26,4.23,3.21,0.82,14.23,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
KAVTUY_CoRE,KAVTUY,CoRE,Real,Grand Canonical Monte Carlo,2.07,248.4,514.2,0.23,0.2,5.23,4.09,0.68,14.21,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
NATXIR_CoRE,NATXIR,CoRE,Real,Grand Canonical Monte Carlo,2.3,0.0,0.0,0.21,0.18,3.62,3.18,0.61,14.21,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
OVIDON_CoRE,OVIDON,CoRE,Real,Grand Canonical Monte Carlo,1.53,0.0,0.0,0.17,0.28,4.4,2.82,0.92,14.19,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
