Name,CSD Refcode,Database_Acronym,Generic Identity,Calculation Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal Structure File Type,Crystal Structure Availability,matched_not_open_in_col
MUKQUG_clean,MUKQUG,CoRE 2019,Real,Machine Learning,0.820023,2700.41,2214.4,0.683,0.832903,11.37507,4.46993,DOI: 10.5281/zenodo.3541216,CIF (P1 Symmetry),Open Source,
MULXOI_clean,MULXOI,CoRE 2019,Real,Machine Learning,0.840355,2650.32,2227.21,0.6952,0.82727,8.00603,6.68355,DOI: 10.5281/zenodo.3534399,CIF (P1 Symmetry),Open Source,
XICYUF_clean,XICYUF,CoRE 2019,Real,Machine Learning,0.993033,1685.86,1674.12,0.7044,0.709342,28.67887,6.71408,DOI: 10.5281/zenodo.3539158,CIF (P1 Symmetry),Open Source,
CIWROQ_CoRE,CIWROQ,CoRE,Real,Crystallographic properties,1.21042,1320.36,1598.19,0.624287,0.552467,8.21789,7.67164,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
FUVBOP_clean,FUVBOP,CoRE 2019,Real,Machine Learning,0.950401,2021.05,1920.81,0.6984,0.734848,10.72258,6.59075,DOI: 10.5281/zenodo.3540583,CIF (P1 Symmetry),Open Source,
SOHNEJ_clean,SOHNEJ,CoRE 2019,Real,Machine Learning,1.18471,1763.69,2089.45,0.6672,0.563178,8.72478,7.97366,DOI: 10.5281/zenodo.3537000,CIF (P1 Symmetry),Open Source,
ETECOX_clean,ETECOX,CoRE 2019,Real,Machine Learning,1.07802,1869.13,2014.96,0.7346,0.681437,10.32812,8.91862,DOI: 10.5281/zenodo.3530565,CIF (P1 Symmetry),Open Source,
CUFFAL_clean,CUFFAL,CoRE 2019,Real,Machine Learning,0.914088,2781.24,2542.3,0.6982,0.763822,6.84864,5.58095,DOI: 10.5281/zenodo.3529613,CIF (P1 Symmetry),Open Source,
ZUGDEM_clean,ZUGDEM,CoRE 2019,Real,Machine Learning,0.85339,2576.07,2198.39,0.6996,0.819789,9.67095,5.98717,DOI: 10.5281/zenodo.3540020,CIF (P1 Symmetry),Open Source,
SACDOR_CoRE,SACDOR,CoRE,Real,Crystallographic properties,1.2392,1261.52,1563.28,0.625279,0.53483,8.1061,7.63768,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
HABCEV_clean,HABCEV,CoRE 2019,Real,Machine Learning,0.991769,2115.04,2097.63,0.6876,0.693307,9.92705,7.22424,DOI: 10.5281/zenodo.3540667,CIF (P1 Symmetry),Open Source,
POBVIN_clean,POBVIN,CoRE 2019,Real,Machine Learning,0.869183,2358.28,2049.78,0.696,0.800752,9.76079,6.4479,DOI: 10.5281/zenodo.3535685,CIF (P1 Symmetry),Open Source,
FIRMUQ_clean,FIRMUQ,CoRE 2019,Real,Machine Learning,0.804259,3209.14,2580.98,0.675,0.839282,6.37918,5.90394,DOI: 10.5281/zenodo.3530997,CIF (P1 Symmetry),Open Source,
EDAPIK_CoRE,EDAPIK,CoRE,Real,Crystallographic properties,0.672755,2536.41,1706.39,0.654288,1.03389,7.09885,6.53196,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
RAKDEN_clean,RAKDEN,CoRE 2019,Real,Machine Learning,1.20923,1684.4,2036.82,0.668,0.55242,8.39033,7.40998,DOI: 10.5281/zenodo.3536296,CIF (P1 Symmetry),Open Source,
WUZGEF01_clean,WUZGEF01,CoRE 2019,Real,Machine Learning,0.817889,2432.21,1989.28,0.681,0.832631,9.04154,6.21636,DOI: 10.5281/zenodo.3538907,CIF (P1 Symmetry),Open Source,
NETYIV01_clean,NETYIV01,CoRE 2019,Real,Machine Learning,0.782971,2580.37,2020.36,0.686,0.87615,8.07265,7.09602,DOI: 10.5281/zenodo.3534640,CIF (P1 Symmetry),Open Source,
MURBEI_clean,MURBEI,CoRE 2019,Real,Machine Learning,0.873364,2789.93,2436.63,0.6948,0.795545,7.16636,5.68293,DOI: 10.5281/zenodo.3534417,CIF (P1 Symmetry),Open Source,
EYOCIG_clean,EYOCIG,CoRE 2019,Real,Machine Learning,0.922433,2635.51,2431.08,0.694,0.752358,8.27418,5.89212,DOI: 10.5281/zenodo.3530662,CIF (P1 Symmetry),Open Source,
BUKSIL_clean,BUKSIL,CoRE 2019,Real,Machine Learning,0.979145,2382.12,2332.45,0.7198,0.735131,10.48223,5.17581,DOI: 10.5281/zenodo.3529064,CIF (P1 Symmetry),Open Source,
LAGTIY_clean,LAGTIY,CoRE 2019,Real,Machine Learning,1.13024,2227.25,2517.32,0.7308,0.646591,8.49333,5.93464,DOI: 10.5281/zenodo.3533499,CIF (P1 Symmetry),Open Source,
